car_id,region,price,year,manufacturer,model,cylinder,fuel,odometer,transmission,drive,types,core_rating,supporting_rating,interior_rating,exterior_rating,wear_rating
24501533,Bangalore,477000,2015,Honda,Amaze,4,diesel,31998,manual,FWD,sedan,9.6,9.6,9.2,7.7,7.7
26810931,Bangalore,423000,2017,Maruti Suzuki,Celerio,3,petrol,44394,automatic,FWD,hatchback,9.6,9.4,8.3,8.4,8.4
26843141,Bangalore,523000,2014,Hyundai,Verna,4,petrol,23533,manual,FWD,sedan,9.8,9.3,9.3,8.4,8.6
26138997,Bangalore,492000,2023,Maruti Suzuki,Alto K10,3,petrol,20421,automatic,FWD,hatchback,9.5,8.7,9.4,9.3,8.9
26940888,Bangalore,615000,2017,Mahindra,TUV300,3,diesel,42230,manual,RWD,suv,9.8,9.7,9,9,8.8
26927489,Bangalore,601000,2020,Hyundai,Grand i10 Nios,4,petrol,12837,automatic,FWD,hatchback,9.9,9.8,9.6,9.4,9.3
26871248,Bangalore,259000,2013,Maruti Suzuki,Alto 800,3,petrol,19421,manual,FWD,hatchback,9.8,8.9,8.7,7.8,8.6
26142012,Bangalore,285000,2014,Tata,Zest,4,petrol,84854,manual,FWD,sedan,9.6,9.3,8.1,7.9,8.3
26216166,Bangalore,225000,2011,Maruti Suzuki,A-Star,3,petrol,94624,automatic,,hatchback,9.7,9.4,8.6,8.4,8.6
26954776,Bangalore,559000,2017,Maruti Suzuki,Dzire,4,petrol,33658,automatic,FWD,sedan,9.9,8.8,9.3,8.4,8.2
26796489,Bangalore,334000,2014,Ford,Figo,4,petrol,40413,manual,FWD,hatchback,9.8,9.6,9.3,8.4,8.8
26695351,Bangalore,375000,2014,Hyundai,Xcent,4,petrol,64175,manual,FWD,sedan,9.6,9.5,8.4,8.3,8.5
27103672,Bangalore,771000,2023,Maruti Suzuki,Swift,4,petrol,6954,automatic,FWD,hatchback,10,9.9,9.5,9.5,9.4
26650551,Bangalore,590000,2015,Honda,City,4,petrol,29453,manual,FWD,sedan,9.8,9.8,9.3,8.7,9.1
26765269,Bangalore,589000,2021,Tata,Tigor,3,petrol,56924,automatic,FWD,sedan,9.5,9.4,8.7,8.4,8.4
26207052,Bangalore,478000,2015,Ford,EcoSport,3,petrol,109806,manual,FWD,suv,9.3,9.3,8.6,8.1,8.5
25747000,Bangalore,354000,2015,Ford,Figo Aspire,4,diesel,95042,manual,FWD,sedan,9,8.5,7.8,7.4,8.3
27024100,Bangalore,904000,2019,Hyundai,Creta,4,petrol,12023,manual,FWD,suv,9.8,9.9,9.6,9,9.4
26585174,Bangalore,348000,2014,Hyundai,Grand i10,4,petrol,101277,manual,FWD,hatchback,9.4,8.8,8.3,8,8.4
26966628,Bangalore,502000,2020,Hyundai,Santro,4,petrol,31096,automatic,FWD,hatchback,9.7,8.7,9.3,8.6,8.6
26551723,Bangalore,1381538,2023,Honda,Elevate,4,petrol,14450,manual,FWD,suv,9.9,9.9,9.8,9.5,9.4
25822465,Bangalore,682000,2021,Tata,Altroz,4,diesel,98589,manual,FWD,hatchback,9,8.7,8.5,7.8,8.7
25182714,Bangalore,1267424,2023,Volkswagen,Virtus,3,petrol,53355,manual,FWD,sedan,9.8,9.6,9.3,9.4,8.2
27027955,Bangalore,519000,2017,Maruti Suzuki,Baleno,3,petrol,59052,manual,FWD,hatchback,9.6,9.5,8.6,7.8,8
26374690,Bangalore,288000,2014,Maruti Suzuki,Wagon R,3,petrol,54336,manual,FWD,hatchback,9.8,9.4,8.8,8.5,7.7
25980084,Bangalore,1596668,2023,Kia,Carens,4,diesel,55507,automatic,FWD,muv,9.7,9.3,8.2,8.5,7.8
26394927,Bangalore,320000,2012,Hyundai,i10,4,petrol,72962,automatic,FWD,hatchback,9.6,8.8,7.8,7.5,7.8
27088425,Bangalore,832000,2025,Hyundai,Grand i10 Nios,4,petrol,9018,automatic,FWD,hatchback,9.9,9.9,9.9,9.6,9.5
26288541,Bangalore,516000,2014,Honda,Mobilio,4,diesel,83283,manual,FWD,muv,9.1,9,8.1,7.6,8.6
27028020,Bangalore,521000,2018,Hyundai,Grand i10,4,petrol,37058,automatic,FWD,hatchback,9.8,9.7,8.9,8.5,8.7
26548308,Bangalore,1045253,2022,Tata,Nexon,3,petrol,14099,automatic,FWD,suv,9.9,9.8,9.8,9.6,9.1
26755634,Bangalore,241000,2013,Hyundai,Eon,3,petrol,35248,manual,FWD,hatchback,9.8,9.8,9.2,8.5,8.8
26594360,Bangalore,475000,2022,Renault,Kwid,3,petrol,31988,automatic,FWD,hatchback,9.5,9.6,9.6,9.1,7.7
