region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type
bangalore,3989358,2019,mercedes-benz,e-class,good,4.0,petrol,17860,clean,automatic,rwd,sedan
bangalore,766000,2018,ford,ecosport,salvage,3.0,petrol,80072,clean,automatic,fwd,suv
bangalore,458000,2016,hyundai,grand i10,salvage,4.0,petrol,112554,clean,automatic,fwd,hatchback
bangalore,338000,2014,hyundai,grand i10,fair,4.0,petrol,60311,clean,manual,fwd,hatchback
bangalore,396000,2016,maruti suzuki,celerio,salvage,3.0,petrol,92097,clean,automatic,fwd,hatchback
bangalore,566000,2020,hyundai,grand i10,good,4.0,petrol,29061,clean,manual,fwd,hatchback
bangalore,1109893,2020,kia,sonet,fair,4.0,diesel,49591,clean,automatic,fwd,suv
bangalore,542000,2020,hyundai,grand i10,fair,4.0,petrol,47366,clean,manual,fwd,hatchback
bangalore,540000,2016,hyundai,i20,salvage,4.0,diesel,93649,clean,manual,fwd,hatchback
bangalore,285000,2016,renault,kwid,fair,3.0,petrol,55111,clean,manual,fwd,hatchback
bangalore,509000,2017,hyundai,xcent,fair,4.0,petrol,41818,clean,manual,fwd,sedan
bangalore,312000,2017,renault,kwid,salvage,3.0,petrol,70836,clean,automatic,fwd,hatchback
bangalore,1240183,2023,maruti suzuki,xl6,good,4.0,petrol,28018,clean,automatic,fwd,muv
bangalore,1155343,2022,volkswagen,taigun,salvage,3.0,petrol,92717,clean,automatic,fwd,suv
bangalore,3282358,2021,mercedes-benz,c-class,fair,4.0,petrol,47657,clean,automatic,rwd,sedan
bangalore,362000,2016,maruti suzuki,celerio,salvage,3.0,petrol,124545,clean,automatic,fwd,hatchback
bangalore,1769423,2022,hyundai,alcazar,good,4.0,diesel,22201,clean,automatic,fwd,suv
bangalore,321000,2017,renault,kwid,fair,3.0,petrol,51816,clean,manual,fwd,hatchback
bangalore,1335078,2022,kia,seltos,salvage,4.0,diesel,103555,clean,manual,fwd,suv
bangalore,386000,2017,ford,figo,salvage,4.0,petrol,121872,clean,manual,fwd,hatchback
bangalore,256000,2012,maruti suzuki,a-star,salvage,3.0,petrol,109613,clean,automatic,fwd,hatchback
bangalore,314000,2016,hyundai,eon,salvage,3.0,petrol,75617,clean,manual,fwd,hatchback
bangalore,939000,2018,hyundai,verna,good,4.0,petrol,26484,clean,automatic,fwd,sedan
bangalore,319000,2017,renault,kwid,salvage,3.0,petrol,97286,clean,automatic,fwd,hatchback
bangalore,899000,2019,mahindra,xuv 300,fair,4.0,diesel,45918,clean,automatic,fwd,suv
bangalore,311000,2016,mahindra,kuv100,salvage,3.0,petrol,91202,clean,manual,fwd,crossover
bangalore,301000,2018,datsun,go,fair,3.0,petrol,40138,clean,manual,fwd,hatchback
bangalore,256000,2017,datsun,go,fair,3.0,petrol,58781,clean,manual,fwd,hatchback
bangalore,271000,2018,datsun,redi-go,fair,3.0,petrol,67598,clean,manual,fwd,hatchback
bangalore,533000,2019,hyundai,grand i10,good,4.0,petrol,28296,clean,manual,fwd,hatchback
bangalore,236000,2013,ford,figo,salvage,4.0,petrol,96383,clean,manual,fwd,hatchback
bangalore,1027073,2022,kia,sonet,fair,4.0,diesel,37294,clean,manual,fwd,suv
bangalore,452000,2016,hyundai,grand i10,fair,4.0,petrol,32775,clean,manual,fwd,hatchback
bangalore,1286643,2023,maruti suzuki,xl6,fair,4.0,petrol,40830,clean,automatic,fwd,muv
bangalore,434000,2016,hyundai,grand i10,salvage,4.0,petrol,123773,clean,manual,fwd,hatchback
bangalore,1244223,2022,kia,carens,salvage,4.0,petrol,86108,clean,manual,fwd,muv
bangalore,225000,2013,maruti suzuki,alto,salvage,3.0,petrol,78402,clean,manual,fwd,hatchback
bangalore,3726758,2022,audi,q3,good,4.0,petrol,25545,clean,automatic,fwd,suv
bangalore,747000,2023,tata,altroz,good,3.0,petrol,19551,clean,manual,fwd,hatchback
