car_id,region,price,year,manufacturer,model,cylinder,fuel,odometer,transmission,drive,types,core_rating,supporting_rating,interior_rating,exterior_rating,wear_rating
25881109,Jaipur,1166001,2022,Kia,Sonet,4,diesel,59789,automatic,FWD,suv,9.7,9.6,8.9,8.8,8
25550371,Jaipur,2667000,2023,Skoda,Superb,4,petrol,42912,automatic,FWD,sedan,9.6,9.7,8.8,8.6,8.8
25290983,Gurgaon,1464358,2022,Jeep,Compass,4,petrol,60511,automatic,FWD,suv,9.4,9.6,8.6,8,6.8
25934348,Gurgaon,1504758,2015,Mercedes-Benz,C-Class,4,petrol,27791,automatic,RWD,sedan,9.6,9.6,9.1,8.5,9.1
26781165,Jaipur,1261007,2024,Kia,Seltos,4,diesel,46259,manual,FWD,suv,9.8,9.7,8.8,9,8.2
21893411,Gurgaon,890000,2014,Audi,A4,,petrol,62200,automatic,FWD,sedan,9.5,9.6,8.7,7,7.2
26909949,Jaipur,621376,2023,Nissan,Magnite,3,petrol,18030,manual,FWD,suv,9.9,9.9,9.6,9,8.8
20821255,Gurgaon,1605758,2017,Jaguar,XE,4,petrol,43070,automatic,RWD,sedan,9.8,9.6,9.1,8.4,7.2
25960901,Jaipur,228928,2016,Renault,Kwid,3,petrol,95670,manual,FWD,hatchback,8.9,9.3,7.5,7.5,8.6
26423740,Jaipur,364854,2017,Tata,Tiago,3,petrol,73291,manual,FWD,hatchback,9.6,8.9,7.8,7.3,7.7
26225787,Jaipur,501000,2016,Honda,City,4,petrol,49035,manual,FWD,sedan,9.8,9.7,8.9,8.4,8.5
22978810,Gurgaon,3221758,2023,Audi,Q3,4,petrol,33324,automatic,,suv,9.9,9.8,9.6,9.5,8.8
22537906,Jaipur,656000,2023,Renault,Kiger,3,petrol,35367,automatic,FWD,suv,9.4,9.8,8,8.6,8.1
26287730,Jaipur,480340,2019,Renault,Triber,3,petrol,56440,manual,FWD,muv,9.7,9.5,8.7,8.3,7.9
26837873,Jaipur,385294,2019,Maruti Suzuki,Alto K10,3,petrol,6268,manual,FWD,hatchback,9.8,10,8.9,8.9,9.5
21105664,Jaipur,1048999,2022,Honda,City,4,petrol,21829,manual,FWD,sedan,9.9,9.9,9.2,9.4,9.5
25818972,Jaipur,478000,2021,Maruti Suzuki,Wagon R 1.0,3,cng,66851,manual,FWD,hatchback,9.5,9.2,8.3,8.3,8.2
23677230,Jaipur,487000,2018,Hyundai,Xcent,3,diesel,74810,manual,FWD,sedan,9.1,9.4,8.5,7.8,8.3
26613248,Jaipur,411000,2018,Tata,Tiago,3,petrol,29088,manual,FWD,hatchback,9.7,9.8,8.9,8.6,8.6
23910780,Jaipur,725000,2022,Tata,Nexon,3,cng,44568,manual,,suv,9.7,9.7,8.8,8.9,8.3
26377253,Jaipur,239148,2016,Renault,Kwid,3,petrol,65489,manual,FWD,hatchback,9.7,9.4,8.2,7.6,8.6
24271861,Jaipur,839000,2023,Maruti Suzuki,Ciaz,4,petrol,25329,manual,FWD,sedan,9.7,9.8,9.6,9.1,9.2
25656564,Jaipur,533000,2024,Maruti Suzuki,Celerio,3,petrol,12681,automatic,FWD,hatchback,9.9,9.9,9.5,9.6,9.3
23108984,Jaipur,840000,2021,Hyundai,Venue,3,petrol,37099,automatic,FWD,suv,9.9,9.8,8.6,8.8,8.3
22557950,Jaipur,375000,2017,Maruti Suzuki,Wagon R 1.0,3,petrol,44552,automatic,FWD,hatchback,9.8,9.2,8.5,7.9,8.5
25660672,Jaipur,1326001,2023,Mahindra,Thar,4,diesel,43877,manual,4WD,suv,9.8,9.7,9.4,9.2,8.8
22094968,Jaipur,729000,2018,Honda,City,4,petrol,47204,automatic,FWD,sedan,9.8,9.6,8.9,8.1,7.6
22487875,Jaipur,382000,2015,Hyundai,Grand i10,4,petrol,47790,manual,FWD,hatchback,9.8,8.8,8.5,7.5,8.7
23234894,Jaipur,995000,2023,Maruti Suzuki,Brezza,4,petrol,56345,manual,FWD,suv,9.6,9.5,8.9,8.4,8.8
26373657,Jaipur,674000,2022,Maruti Suzuki,Swift,4,petrol,30691,automatic,FWD,hatchback,9.9,9.8,8.9,8.9,8.5
20086251,Jaipur,568000,2024,Maruti Suzuki,Celerio,3,petrol,14076,automatic,FWD,hatchback,9.9,9,9.8,9.2,9.2
